persona_id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25
1,4,4,2,4,2,4,4,4,4,5,4,4,5,4,4,5,5,5,5,4,2,4,5,4,5
2,4,5,2,4,2,4,4,4,4,4,5,5,4,5,5,3,3,2,3,2,5,4,4,4,5
3,4,4,3,4,3,3,3,4,4,4,3,3,5,4,4,5,5,5,5,5,1,2,4,2,5
4,4,5,3,4,2,4,5,4,4,5,4,4,5,4,4,5,5,5,5,5,3,5,5,5,5
5,3,4,5,4,4,4,4,3,4,4,5,5,5,5,5,3,3,5,4,3,2,4,4,4,5
6,4,4,3,4,2,4,4,4,5,4,5,5,5,5,4,3,3,4,4,3,2,4,4,4,5
7,3,4,3,4,3,4,4,4,4,4,5,5,4,5,4,2,2,3,3,2,2,4,3,4,4
8,4,4,3,4,2,5,5,4,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5
9,4,5,2,5,2,4,4,4,4,5,4,3,5,4,5,5,5,5,5,5,2,4,4,4,5
10,2,2,5,2,5,4,3,3,4,3,5,5,4,5,4,2,3,2,3,2,3,4,2,3,4
