id,description,age,education,gender,job,neuroticism,extraversion,openness,agreeableness,conscientiousness
1,作为一名从业十余年的机械工程师，他恪守既有的技术规范，更信赖经反复验证的传统工艺。本科毕业至今，他习惯安静地独立钻研图纸，对天马行空的设计改动总抱持审慎的质疑。平日里他话不多，动手做事时不太计较吃亏，但触及专业细节又格外较真。情绪总体平稳，唯有项目节点临近会隐现一丝焦虑，好在他能自我调适。书桌常有些散乱，但他总能在最后关头把一切安排妥当。,34,本科,男,机械工程师,2.6,2.8,2.3,2.8,2.6
2,她今年32岁，在一家建筑事务所做人力资源，本科毕业后就一直在这个行业里和人打交道。平日里总是笑盈盈的，谁都能和她聊上几句，办公室里属她最会活跃气氛。遇事她很少慌张，压力再大也能稳住阵脚，只是桌上那堆没来得及归档的文件和偶尔拖到最后一刻的方案，总让同事替她捏把汗。她倒觉得没什么，照样乐此不疲地张罗团建、尝试新餐厅，对新人的创意简历也总愿多看两眼。,32,本科,女,建筑师人力资源专员,2.5,3.6,3.2,3.4,1.5
3,她在村小教了二十多年书，四十岁的脸上常挂着几分警觉的神色。备课一丝不苟，教案却写得随性，想到哪记到哪。对不听话的学生，她当面训斥，很少绕弯子，也不太信什么新式教法，认准了抄写和背诵的老规矩。家长们觉得她严厉得近乎苛刻，但也知道把孩子交给她，成绩错不了。,40,初中及以下,女,教师,2.7,3.0,2.5,1.8,3.0
4,她是一位27岁的女医生，硕士毕业后便进入临床工作。平日话不多，习惯在独处中梳理病案，做事周密且极度自律，从不拖延。对待诊疗方案，她坚持依据最新指南，对模糊说法常会直言质疑，不太轻易附和同行。虽然情绪总体平稳，但面对病情反复还是会暗自揪心，只是极少流露。她更愿将精力投入实际病程管理，而非社交寒暄。,27,硕士,女,医生,2.8,2.3,2.2,2.0,3.7
5,他是一位三十岁的产品经理，硕士毕业后一直在熟悉的领域深耕。性格安静内敛，比起热闹的头脑风暴，他更愿在工位上独自推敲细节。他信任同事、乐于协作，是团队里好说话的搭档，但项目临近上线时，常会因小疏漏而反复确认、难以松弛。生活里他偏爱稳定的节奏和既有的方法，对前卫概念兴趣不大；工作计划也常随性调整，偶尔拖延，却总能在最后关头温和而扎实地把事情托住。,30,硕士,男,产品经理,2.7,2.4,2.2,3.3,2.5
6,林老师今年二十五岁，硕士毕业后便任教。她总是一副温和平静的模样，很少因琐事慌乱，却也习惯轻声细语，课余更愿独自待在办公室看书或备课，热闹的场合总让她有些消耗。她不算热衷新奇事物，却极有耐心，学生都说她宽容得几乎从不发火，凡事总先替别人着想。只是她办公桌常堆着待批的作业，偶尔也会一时兴起，在上课前临时改了教案。,25,硕士,女,教师,2.0,2.3,2.8,4.5,2.4
7,她三十一岁，本科毕业后一直做采购，性格安静内敛，不太爱热闹的应酬。谈价格时她总不紧不慢，很少为业绩焦躁，反倒常替对方着想，供应商都觉得她厚道好说话。不过她的工位永远堆着待整理的报价单，时常临近截止日才匆匆填单，好脾气地笑说自己又犯了拖延。,31,本科,女,采购专员,2.0,2.2,2.1,4.5,1.2
8,她处理客户投诉时总先温声抚慰，那份硕士阶段养成的条理与细致，让她总能把繁杂的问题梳理得清晰周全。三十七岁的她，安静的外表下藏着敏锐的感受力，偶尔会为棘手电话暗自紧张，却总能靠责任心迅速平复。她对新知识保持好奇，闲时爱琢磨些陌生领域，这让她能真正听懂形形色色的客户，温和而坚持地提供帮助。,37,硕士,女,客服专员,3.0,3.2,3.4,3.6,3.9
9,她28岁，硕士毕业后做了客服专员，每天应对纷繁投诉也极少见她情绪失控。她热情健谈，在团队里总能活跃气氛，却习惯用务实眼光审视问题，不爱空谈创新。处理纠纷时，她直言不讳，不轻易同情妥协，更相信规则与效率。工作日志永远条理分明，自律到同事都佩服，仿佛所有目标都已排进她那份严密的日程里。,28,硕士,女,客服专员,2.6,3.9,1.9,2.1,4.0
10,林姐做客服已经好些年，接电话时她嗓门总是亮堂堂的，再麻烦的客户也能笑着应对，只是挂断后常忍不住跟同事嘀咕这人怎么这样。她没什么学历，字也写得歪歪扭扭，但记性不错，爱跟人聊天。就是心里搁不住事，碰上难缠的投诉会一整天反复念叨发愁，桌子也乱糟糟的，催单便签贴满屏幕，不到最后关头懒得去整理。,36,初中及以下,女,客服专员,3.5,3.9,3.2,2.8,2.9
