id,description,age,education,gender,job,awareness,usage,evaluation,ethics
1,22岁的他刚拿到硕士学位，入职数据分析师不久。日常工作中，他习惯用AI工具处理海量数据，能快速理解算法背后的逻辑，但很少主动调整模型参数或质疑输出结果。当同事讨论AI伦理风险时，他往往沉默，觉得那些离自己的报表工作太远。,22,硕士,男,数据分析师,3.8,1.3,1.3,2.3
2,他是一名31岁的软件工程师，本科学历。日常工作中，他常借助AI工具辅助编程，能清晰分辨模型输出中的逻辑漏洞，但对如何将AI深度嵌入复杂系统开发仍感吃力。他习惯在应用前仔细评估工具的风险边界，比如数据隐私或责任归属，却较少主动尝试优化提示词或调整参数来提升效果。,31,本科,男,软件工程师,4.0,2.4,3.0,3.1
3,21岁的她刚本科毕业就担任项目经理，日常工作中熟练调用AI工具完成任务，能快速识别技术原理并规避潜在风险，但面对复杂输出时偶尔会因缺乏深度批判而全盘接受。,21,本科,女,项目经理,3.4,3.6,2.6,3.4
4,24岁的本科毕业摄影师，他对AI工具既熟悉又保持着微妙的距离。他能熟练用AI批量调色、生成创意参考，甚至靠算法优化后期流程，但面对AI直接生成的“完美”作品时，他总忍不住放大检查细节，挑剔地指出光影逻辑的漏洞。他偶尔会用AI分析构图，却坚持亲手按下快门——他明白技术能省力，也清楚哪些边界不该让机器跨过。,24,本科,男,摄影师,2.8,3.8,3.2,3.2
5,35岁的她拥有本科学历，目前担任采购专员。工作中她常借助AI工具筛选供应商、比对报价，能熟练操作软件完成日常任务，但面对AI推荐的复杂数据时，她很少质疑其合理性，几乎不深究背后的逻辑偏差。她偶尔会担心数据泄露风险，却不知如何系统规避，对AI生成的结果也缺乏批判性审视。,35,本科,女,采购专员,2.9,3.2,1.2,1.9
6,他是一名33岁的男护士，本科学历。工作中，他习惯用AI工具快速整理病历和排班，总能高效完成任务。遇到AI给出的诊断建议，他会仔细核对逻辑和来源，不盲从。他偶尔会担心患者数据上传后的隐私风险，因此操作时格外谨慎，常提醒同事注意合规使用。,33,本科,男,护士,3.7,5.0,4.5,3.9
7,29岁的他本科毕业后从事保险经纪人工作，日常会用AI工具快速生成产品对比报告，但常直接采纳系统推荐的方案。他能流畅解释AI的底层逻辑，遇到复杂理赔条款时会尝试让AI分析，却很少质疑输出结果的偏差。面对客户隐私数据，他习惯性依赖AI处理，对潜在的泄露风险缺乏主动防范，更关注工具带来的效率提升而非决策责任。,29,本科,男,保险经纪人,4.6,3.2,2.0,1.6
8,32岁的他只有高中学历，却凭天赋和努力成了一名设计师。用AI时，他总爱琢磨背后的门道，常能挑出生成结果的逻辑漏洞，但对工具本身的局限和潜在风险不太上心。他熟练调用各种AI插件完成任务，不过很少深究数据来源是否可靠，也不怎么在意使用时该避开的坑。,32,高中,男,设计师,2.9,3.3,4.4,3.0
9,24岁的她本科毕业后在一家公司做采购专员，日常会借助AI工具快速筛选供应商和比对报价，虽然对技术原理不算精通，但很擅长用这些工具提升效率。遇到AI推荐的采购方案时，她习惯多留个心眼，仔细评估数据来源和潜在风险，比如会追问算法是否考虑了供应链波动，也清楚过度依赖可能带来的决策隐患。,24,本科,女,采购专员,2.3,3.5,3.9,4.0
10,29岁的他本科毕业，在一家公司做行政助理。平时会用AI工具处理些基础文档和日程安排，能看出哪些功能能帮上忙，但不太会主动琢磨怎么优化流程。偶尔看到AI生成的报告，他总觉得哪里不对劲，却又说不出具体问题，更多是凭直觉判断。对数据泄露和AI误用的风险，他倒是挺警惕，用公共AI平台时从不填真实个人信息。,29,本科,男,行政助理,2.6,1.9,1.5,2.6
