题号,维度,题目,方向
1,人工智能原理与边界认知,我清楚人工智能并不是“会思考的人”，而是基于规则、数据或模型运行的技术系统。,正向
2,人工智能原理与边界认知,我能分辨哪些任务更适合由人工智能辅助，哪些任务仍应主要依赖人的判断。,正向
3,人工智能原理与边界认知,我了解人工智能的输出质量往往取决于输入数据的质量与范围。,正向
4,人工智能原理与边界认知,我知道人工智能生成的内容可能看起来合理，却仍然包含事实错误。,正向
5,人工智能原理与边界认知,我能区分人工智能是在“生成新内容”还是在“检索已有信息”。,正向
6,人工智能原理与边界认知,我了解人工智能系统可能因训练数据偏差而对某些群体产生不公平结果。,正向
7,人工智能使用与协作调控,在使用人工智能前，我会先明确自己希望它解决什么问题。,正向
8,人工智能使用与协作调控,我能通过调整提问方式，让人工智能更准确地回应我的实际需求。,正向
9,人工智能使用与协作调控,我知道如何把复杂任务拆成若干步骤，再借助人工智能分别完成。,正向
10,人工智能使用与协作调控,当人工智能第一次回答不理想时，我通常能继续追问并优化结果。,正向
11,人工智能使用与协作调控,我会结合任务情境，为人工智能提供必要背景信息，以提高输出质量。,正向
12,人工智能使用与协作调控,我能够根据任务目标选择合适的人工智能工具，而不是只使用自己最熟悉的那一个。,正向
13,人工智能输出审辨与独立判断,我能够识别人工智能输出中哪些内容是事实陈述，哪些内容是推测、概括或建议。,正向
14,人工智能输出审辨与独立判断,当人工智能给出信息时，我会关注其是否提供了可核实的依据。,正向
15,人工智能输出审辨与独立判断,我能从人工智能生成的多个答案中比较优劣，而不是只看哪一个更顺眼。,正向
16,人工智能输出审辨与独立判断,当人工智能的答案与常识或已有证据冲突时，我会进一步查证。,正向
17,人工智能输出审辨与独立判断,我能识别人工智能回答中的不确定性，并据此调整自己的信任程度。,正向
18,人工智能输出审辨与独立判断,当人工智能的结果让我感到过于“合心意”时，我反而会更谨慎地检查它。,正向
19,人工智能责任与伦理风险意识,我在输入信息给人工智能之前，会考虑其中是否包含不应随意提供的个人或敏感内容。,正向
20,人工智能责任与伦理风险意识,我能够判断某些涉及法律、医疗、财务或安全的建议不应仅凭人工智能决定。,正向
21,人工智能责任与伦理风险意识,我明白在高风险情境下，人工智能的建议应接受更严格的人类审查。,正向
22,人工智能责任与伦理风险意识,我能意识到使用人工智能生成内容时，自己仍需对最终结果承担责任。,正向
23,人工智能责任与伦理风险意识,我会根据任务后果的严重程度，调整自己对人工智能结果的审查力度。,正向
24,人工智能责任与伦理风险意识,我能理解技术上的“能做”并不代表伦理上“应该做”。,正向
