题号,维度,题目,方向
1,情绪稳定与复原力,我通常能较快从挫折中恢复过来。,正向
2,情绪稳定与复原力,面对压力时，我大多能保持冷静。,正向
3,情绪稳定与复原力,我经常为还没发生的事情过度担心。,反向
4,情绪稳定与复原力,我的情绪通常比较稳定，不容易大起大落。,正向
5,情绪稳定与复原力,我容易沉浸在负面感受中难以抽离。,反向
6,自我觉察与自我整合,我能够觉察自己的情绪变化。,正向
7,自我觉察与自我整合,我能较准确地分辨自己是失望、愤怒还是焦虑。,正向
8,自我觉察与自我整合,我的自我评价总体比较稳定。,正向
9,自我觉察与自我整合,我能接受自己既有优点也有不足。,正向
10,自我觉察与自我整合,我清楚哪些事情对自己真正重要。,正向
11,人际合作与社会关怀,我愿意倾听他人的想法和感受。,正向
12,人际合作与社会关怀,我能体谅他人的处境。,正向
13,人际合作与社会关怀,我在合作中愿意承担自己应负的责任。,正向
14,人际合作与社会关怀,我愿意在他人需要时提供实际帮助。,正向
15,人际合作与社会关怀,我通常能在群体中与人顺畅配合。,正向
16,自律执行与目标坚持,我做事通常有明确的计划。,正向
17,自律执行与目标坚持,我通常会按时完成自己该做的任务。,正向
18,自律执行与目标坚持,我重视细节，做事比较认真。,正向
19,自律执行与目标坚持,即使任务单调，我也能坚持完成。,正向
20,自律执行与目标坚持,面对诱惑时，我通常能克制自己先完成正事。,正向
21,开放思考与适应成长,我愿意尝试新的方法和经验。,正向
22,开放思考与适应成长,我能接受自己的想法被新证据修正。,正向
23,开放思考与适应成长,我愿意花时间理解复杂的问题。,正向
24,开放思考与适应成长,我能够根据情况变化调整策略。,正向
25,开放思考与适应成长,我愿意从错误中总结经验。,正向
